Player,Team,Pos,FPPG,FPPM,G,MPG,PPG,RPG,APG,BPG,SPG,OWN,ADP,CON,Poss/G,FPPP,Age
J. Patton, OKL, C ,1.9,0.4,5,4.8,1.8,1,0.4,0,0,2.7,450,$1.8M,10.8,0.18,22.5
N. Williams-Goss, UTA, G ,1.9,0.38,10,5,1.4,0.6,0.6,0.1,0.3,1.3,450,$1.5M,10.6,0.18,25.3
Q. Weatherspoon, SAS, G ,1.9,0.24,10,7.8,1.2,0.7,1.1,0.1,0.3,2,450,$-M,17.4,0.11,23.3
J. Smith, LAL, F ,1.8,0.14,6,13.2,2.8,0.8,0.5,0,0.2,4,450,$1.5M,28.8,0.06,34.3
C. Brown Jr., ATL, GF ,1.8,0.44,10,4,2,0.4,0.2,0.2,0.2,1.3,450,$-M,9.3,0.19,21.9
T. Owens, PHO, FC ,1.8,0.35,3,5.1,1.3,1,0,0,0.3,0.7,450,$-M,11.3,0.16,23.5
K. Alexander, MIA, F ,1.8,0.27,2,6.7,1,1.5,0,0,0,0,450,$-M,14.5,0.12,23.2
M. Brown, POR, C ,1.8,0.48,9,3.6,1.2,1.6,0.1,0.1,0.1,3.3,450,$-M,8,0.22,20.2
G. Vincent, MIA, G ,1.8,0.19,9,9.2,2.4,0.6,0.7,0,0.6,1.3,450,$-M,19.3,0.09,23.5
L. Mbah a Moute, HOU, F ,1.7,0.2,3,8.2,1.7,0.7,0,0,0.7,0,450,$-M,19,0.09,33.3
J. Magette, ORL, G ,1.7,0.36,8,4.7,1.5,0.8,0.6,0.1,0.4,0.7,450,$-M,10,0.17,30.1
V. Cancar, DEN, F ,1.7,0.51,14,3.2,1.2,0.7,0.2,0.1,0.1,2.7,450,$1.5M,7.1,0.24,22.7
M. Miller, TOR, GF ,1.7,0.3,28,5.8,1.3,0.6,0.4,0.1,0.2,0,450,$0.0M,12.5,0.14,26.8
J. Vanderbilt, DEN, F ,1.7,0.39,11,4.2,1.1,0.8,0.2,0.1,0.3,7.3,450,$1.7M,9.1,0.18,20.7
D. Hall, OKL, G ,1.7,0.23,11,7.3,1.8,0.6,1.2,0.1,0.4,0,450,$-M,15.8,0.11,24.5
M. Mooney, CLE, G ,1.7,0.36,4,4.7,0.5,0.8,0.3,0.3,0.5,1.3,450,$0.0M,9.8,0.17,22.9
A. Jefferson, ORL, F ,1.6,0.39,18,4.1,0.8,1.3,0.2,0.2,0.1,0.7,450,$1.6M,8.8,0.18,26.6
J. Lecque, PHO, G ,1.5,0.24,5,6.3,2,0.4,0.4,0,0,6.7,450,$1.5M,13.8,0.11,19.5
I. Brazdeikis, NYK, F ,1.4,0.23,9,5.9,1.9,0.6,0.4,0.1,0,5.3,450,$1.5M,12.7,0.11,20.9
K. Thomas, DET, GF ,1.3,0.17,8,7.7,2.1,0.1,0.4,0,0.4,0.7,450,$0.7M,15.4,0.09,23.6
K. Guy, SAC, G ,1.3,0.41,3,3.2,1.3,0.3,0.3,0,0,2,450,$0.0M,7.7,0.17,22.4
B. Bowen II, IND, GF ,1.3,0.25,6,5.2,1,1.2,0,0.2,0,0,450,$0.0M,11.2,0.12,21.2
M. Frazier, HOU, GF ,1.2,0.11,13,11.1,2.1,0.8,0.2,0,0.2,0,450,$-M,25.3,0.05,25.8
J. Bone, DET, G ,1.2,0.22,10,5.3,1.2,0.4,0.8,0,0.1,0.7,450,$-M,10.7,0.11,22.1
A. Cleveland, DAL, GF ,1.1,0.26,11,4.2,1,0.6,0.1,0.3,0.1,0,450,$-M,9,0.12,25.9
H. Ellenson, BKL, FC ,1,0.33,5,3,0.4,1.2,0.2,0,0,2.7,450,$-M,6.8,0.15,22.9
Z. Smith, PHI, GF ,0.7,0.15,7,4.6,1.1,0.3,0.3,0,0.4,5.3,450,$1.1M,10.3,0.07,20.5
J. Gray, NOR, G ,0.2,0.02,2,11.4,1,1,1,0,0,0.7,450,$-M,23,0.01,26.3
D. Macon, MIA, G ,0.1,0.04,4,3.5,0.8,0,0.3,0,0,0,450,$-M,7.8,0.02,24.1
I. Roby, OKL, F ,0.1,0.02,3,3.8,0,0.7,0,0,0,0.7,450,$1.5M,9,0.01,21.9
J. Macura, CLE, G ,0,0,1,0.6,0,0,0,0,0,0,450,$-M,2,0,24.5
J. Chealey, CHA, G ,-0.1,-0.01,4,8.4,0.5,0,0.3,0,1,0,450,$-M,17,0,24.1
J. Harper, PHO, G ,-0.1,-0.03,3,2.6,0.7,0,0,0,0,0.7,450,$-M,6.3,-0.01,22.3
S. Kidd, UTA, GF ,-0.1,-0.02,4,3.8,0,0.8,0.3,0,0,0,450,$-M,8.3,-0.01,27.8
W. Howard, HOU, F ,-0.4,-0.06,2,6.6,0,1,0.5,0,0,0,450,$-M,14,-0.03,26.2
M. Newman, CLE, G ,-0.5,-0.14,1,3.7,2,0,0,0,0,0,450,$-M,8,-0.06,22.8
